EmployeeID,Salary,,City,Country,Gender,Hire Date,Department,Time Type
2,88800,98800,Cologne,Germany,Male,03/05/2012,Sales,Part time
3,156000,166000,Berlin,Germany,Male,02/08/2012,Sales,Part time
4,110000,120000,Berlin,Germany,Male,11/08/2012,Sales,Full time
5,52000,62000,Berlin,Germany,Male,02/11/2012,Sales,Full time
6,140000,150000,Berlin,Germany,Male,17/12/2015,Sales,Full time
7,25614,35614,Sofia,Bulgaria,Male,17/05/2013,Sales,Full time
10,65000,75000,Berlin,Germany,Female,12/12/2013,Sales,Full time
11,45000,55000,Berlin,Germany,Male,31/05/2014,Sales,Full time
14,48000,58000,Berlin,Germany,Female,12/02/2015,Sales,Part time
16,90000,100000,Berlin,Germany,Male,11/06/2015,Sales,Full time
17,110000,120000,Berlin,Germany,Male,28/09/2017,Sales,Full time
19,135000,145000,Berlin,Germany,Male,11/06/2015,Sales,Full time
20,72000,82000,Berlin,Germany,Male,11/07/2015,Sales,Full time
23,45000,55000,Berlin,Germany,Female,17/03/2016,Sales,Full time
24,75000,85000,Berlin,Germany,Female,11/04/2016,Sales,Full time
25,72000,82000,Berlin,Germany,Female,11/08/2016,Sales,Full time
26,275000,285000,Cologne,Germany,Male,03/02/2012,Sales,Full time
28,65000,75000,Berlin,Germany,Female,12/03/2017,Sales,Full time
29,110000,120000,Berlin,Germany,Male,11/05/2017,Sales,Full time
30,50000,60000,Barcelona,Spain,Male,11/05/2017,Sales,Full time
31,81000,91000,Berlin,Germany,Male,22/06/2017,Sales,Full time
32,120000,130000,Berlin,Germany,Male,06/07/2017,Sales,Full time
34,71000,81000,Berlin,Germany,Male,13/09/2018,Sales,Full time
35,110000,120000,Berlin,Germany,Male,11/10/2017,Sales,Full time
37,64000,74000,Berlin,Germany,Female,12/10/2017,Sales,Full time
41,108000,118000,Berlin,Germany,Male,30/11/2017,Sales,Full time
42,60000,70000,Berlin,Germany,Female,08/02/2018,Sales,Full time
43,44000,54000,Berlin,Germany,Female,12/01/2018,Sales,Full time
44,34240,44240,Berlin,Germany,Male,11/02/2018,Sales,Full time
45,68000,78000,Berlin,Germany,Female,25/01/2018,Sales,Full time
46,145000,155000,Berlin,Germany,Male,01/02/2018,Sales,Full time
47,110000,120000,Berlin,Germany,Male,11/02/2018,Sales,Full time
48,29200,39200,Berlin,Germany,Female,11/03/2018,Sales,Full time
50,87000,97000,Berlin,Germany,Female,11/04/2018,Sales,Full time
51,75000,85000,Berlin,Germany,Male,11/04/2018,Sales,Full time
52,75000,85000,Berlin,Germany,Male,11/04/2018,Sales,Full time
55,86000,96000,Berlin,Germany,Female,24/05/2018,Sales,Full time
56,150000,160000,Berlin,Germany,Male,11/05/2018,Sales,Full time
59,105000,115000,Berlin,Germany,Male,11/06/2018,Sales,Full time
60,56000,66000,Berlin,Germany,Male,28/06/2018,Sales,Part time
61,110000,120000,Berlin,Germany,Male,11/07/2018,Sales,Full time
62,49000,59000,Berlin,Germany,Female,26/07/2018,Sales,Full time
63,56800,66800,Berlin,Germany,Female,11/08/2018,Sales,Full time
64,80850,90850,Berlin,Germany,Female,11/08/2018,Sales,Full time
65,42158,52158,Berlin,Germany,Female,11/08/2018,Sales,Full time
